the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.43135662386884 37.769320912024575, -122.43157038071915 37.76930716173553)",DUBOCE,AVE,4988000,SANCHEZ ST,STEINER ST,BIKE ROUTE,2006,2W,61.98756774,,,WIGGLE IMPROVEMENTS,,,1,0,0,Duboce Ave,0.01,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,61.9875677305
"LINESTRING (-122.4291279858303 37.76945612858718, -122.42990564263889 37.76940792173609)",DUBOCE,AVE,4985000,CHURCH ST,FILLMORE ST,BIKE ROUTE,0,2W,225.46065505,,,,,,1,0,0,Duboce Ave,0.04,350,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,225.460655049
"LINESTRING (-122.43024736197873 37.76939226169916, -122.43135662386884 37.769320912024575)",DUBOCE,AVE,4987000,BELCHER ST,SANCHEZ ST,BIKE ROUTE,2006,2W,321.67564365,,,WIGGLE IMPROVEMENTS,,,1,0,0,Duboce Ave,0.06,350,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,321.675643654
"LINESTRING (-122.42990564263889 37.76940792173609, -122.43024736197873 37.76939226169916)",DUBOCE,AVE,4986000,FILLMORE ST,BELCHER ST,BIKE ROUTE,2006,2W,98.93611143,,,WIGGLE IMPROVEMENTS,,,1,0,0,Duboce Ave,0.02,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,98.936111436
"LINESTRING (-122.4310377793152 37.7659963295622, -122.43102547098239 37.76586798644253)",SANCHEZ,ST,11510000,15TH ST,MARKET ST,BIKE ROUTE,2010,2W,46.86761465,,,,,,1,0,0,Sanchez St,0.01,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,46.8676146436
"LINESTRING (-122.43102547098239 37.76586798644253, -122.43088215296261 37.76437351049967)",SANCHEZ,ST,11511000,MARKET ST,16TH ST,BIKE ROUTE,2010,2W,545.74412395,,,,,,1,0,0,Sanchez St,0.1,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,545.744123959
"LINESTRING (-122.42865716314627 37.76773488806663, -122.42896877231144 37.76772917086093)",14TH,ST,595000,CHURCH ST,MARKET ST,BIKE ROUTE,2004,2W,90.09458912,,,,,,1,0,0,14th St,0.02,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,90.0945891179
"LINESTRING (-122.42896877231144 37.76772917086093, -122.43008145403083 37.76766211979471)",14TH,ST,596000,CHURCH ST,BELCHER ST,BIKE ROUTE,2004,2W,322.54581875,,,,,,1,0,0,14th St,0.06,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,322.545818749
"LINESTRING (-122.42252634402618 37.77159510331243, -122.42308039653403 37.77156185735716)",MC COPPIN,ST,8917000,VALENCIA ST,END,BIKE LANE,2011,2W,160.59731604,,,,,,1,0,0,Mc Coppin St,0.03,47,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,160.597316043
"LINESTRING (-122.43135662386884 37.769320912024575, -122.43119111978126 37.767595240986076)",SANCHEZ,ST,11507000,DUBOCE AV,14TH ST,BIKE ROUTE,2010,2W,630.1711458,,,,,,1,0,0,Sanchez St,0.12,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,630.171145792
